Hours_Elapsed,Gas_MassFlow_kgs,Gas_Temp_In_C,Gas_Temp_Out_C,Gas_Press_In_bar,Gas_Press_Out_bar,Gas_PressureDrop_bar,Water_MassFlow_kgs,Water_Temp_In_C,Water_Temp_Out_C,Water_PressureDrop_bar,Calculated_LMTD_C,Calculated_U_Wm2K,Target_Fouling_Rf
13,35.6043,140.00,29.54,35.0000,24.3141,10.6859,600.0000,29.53,119.76,3.0300,2.67,448.36,8.141580e-06
14,35.4466,140.00,29.04,35.0000,24.3141,10.6859,600.0000,29.05,119.76,3.0300,0.00,448.23,8.763867e-06
15,35.0476,140.00,28.69,35.0000,24.3141,10.6859,600.0000,28.64,119.76,3.0300,3.32,448.11,9.385587e-06
16,35.7125,140.00,28.34,35.0000,24.3141,10.6859,600.0000,28.33,119.76,3.0300,2.91,447.98,1.000674e-05
17,34.7856,140.00,28.10,35.0000,24.3141,10.6859,600.0000,28.13,119.76,3.0300,0.00,447.86,1.062733e-05
18,35.1363,140.00,28.08,35.0000,24.3141,10.6859,600.0000,28.06,119.76,3.0300,2.89,447.73,1.124736e-05
19,34.9612,140.00,28.15,35.0000,24.3141,10.6859,600.0000,28.14,119.76,3.0300,2.87,447.61,1.186682e-05
20,35.1382,140.00,28.34,35.0000,24.3141,10.6859,600.0000,28.34,119.76,3.0300,0.00,447.49,1.248572e-05
21,35.5712,140.00,28.66,35.0000,24.3141,10.6859,600.0000,28.66,119.76,3.0300,0.00,447.36,1.310405e-05
22,35.3638,140.00,29.08,35.0000,24.3141,10.6859,600.0000,29.08,119.76,3.0300,2.43,447.24,1.372183e-05
23,35.1197,140.00,29.56,35.0000,24.3141,10.6859,600.0000,29.56,119.76,3.0300,0.00,447.11,1.433904e-05
24,35.5907,140.00,30.08,35.0000,24.3141,10.6859,600.0000,30.09,119.76,3.0300,0.00,446.99,1.495569e-05
25,35.8265,140.00,30.60,35.0000,24.3141,10.6859,600.0000,30.61,119.76,3.0300,0.00,446.87,1.557179e-05
26,35.3521,140.00,31.09,35.0000,24.3141,10.6859,600.0000,31.09,119.76,3.0300,0.00,446.75,1.618732e-05
27,35.8447,140.00,31.52,35.0000,24.3141,10.6859,600.0000,31.51,119.76,3.0300,2.76,446.62,1.680230e-05
28,35.7112,140.00,31.83,35.0000,24.3141,10.6859,600.0000,31.83,119.76,3.0300,0.00,446.50,1.741672e-05
29,35.2679,140.00,32.04,35.0000,24.3141,10.6859,600.0000,32.04,119.76,3.0300,0.00,446.38,1.803058e-05
30,35.0430,140.00,32.09,35.0000,24.3141,10.6859,600.0000,32.11,119.76,3.0300,0.00,446.26,1.864388e-05
31,35.5488,140.00,32.05,35.0000,24.3141,10.6859,600.0000,32.04,119.76,3.0300,2.71,446.13,1.925663e-05
32,34.9852,140.00,31.82,35.0000,24.3141,10.6859,600.0000,31.85,119.76,3.0300,0.00,446.01,1.986883e-05
33,35.7572,140.00,31.56,35.0000,24.3141,10.6859,600.0000,31.53,119.76,3.0300,3.03,445.89,2.048047e-05
34,35.6678,140.00,31.11,35.0000,24.3141,10.6859,600.0000,31.12,119.76,3.0300,0.00,445.77,2.109155e-05
35,35.2717,140.00,30.65,35.0000,24.3141,10.6859,600.0000,30.64,119.76,3.0300,2.67,445.65,2.170209e-05
36,35.9872,140.00,30.14,35.0000,24.3141,10.6859,600.0000,30.13,119.76,3.0300,2.74,445.53,2.231207e-05
37,35.4413,140.00,29.62,35.0000,24.3141,10.6859,600.0000,29.62,119.76,3.0300,2.39,445.41,2.292150e-05
38,35.9920,140.00,29.15,35.0000,24.3141,10.6859,600.0000,29.14,119.76,3.0300,2.86,445.29,2.353038e-05
39,35.8630,140.00,28.74,35.0000,24.3141,10.6859,600.0000,28.73,119.76,3.0300,2.85,445.16,2.413871e-05
40,35.7744,140.00,28.41,35.0000,24.3141,10.6859,600.0000,28.41,119.76,3.0300,0.00,445.04,2.474649e-05
41,35.9292,140.00,28.22,35.0000,24.3141,10.6859,600.0000,28.22,119.76,3.0300,1.91,444.92,2.535371e-05
42,35.3704,140.00,28.17,35.0000,24.3141,10.6859,600.0000,28.15,119.76,3.0300,2.93,444.80,2.596040e-05
43,35.8136,140.00,28.23,35.0000,24.3141,10.6859,600.0000,28.22,119.76,3.0300,2.56,444.68,2.656653e-05
44,36.0738,140.00,28.44,35.0000,24.3141,10.6859,600.0000,28.43,119.76,3.0300,2.81,444.56,2.717212e-05
45,35.6687,140.00,28.73,35.0000,24.3141,10.6859,600.0000,28.75,119.76,3.0300,0.00,444.44,2.777716e-05
46,35.2516,140.00,29.16,35.0000,24.3141,10.6859,600.0000,29.16,119.76,3.0300,0.00,444.33,2.838165e-05
47,35.6526,140.00,29.64,35.0000,24.3141,10.6859,600.0000,29.65,119.76,3.0300,0.00,444.21,2.898560e-05
48,36.0673,140.00,30.17,35.0000,24.3141,10.6859,600.0000,30.17,119.76,3.0300,2.02,444.09,2.958901e-05
49,36.1072,140.00,30.70,35.0000,24.3141,10.6859,600.0000,30.69,119.76,3.0300,2.66,443.97,3.019187e-05
50,35.8581,140.00,31.17,35.0000,24.3141,10.6859,600.0000,31.18,119.76,3.0300,0.00,443.85,3.079419e-05
51,35.8167,140.00,31.62,35.0000,24.3141,10.6859,600.0000,31.60,119.76,3.0300,2.93,443.73,3.139596e-05
52,35.5131,140.00,31.93,35.0000,24.3141,10.6859,600.0000,31.92,119.76,3.0300,2.58,443.61,3.199720e-05
53,35.6580,140.00,32.12,35.0000,24.3141,10.6859,600.0000,32.12,119.76,3.0300,0.00,443.49,3.259789e-05
54,36.0023,140.00,32.21,35.0000,24.3141,10.6859,600.0000,32.19,119.76,3.0300,2.94,443.38,3.319804e-05
55,36.0599,140.00,32.13,35.0000,24.3141,10.6859,600.0000,32.13,119.76,3.0300,0.00,443.26,3.379765e-05
56,35.8203,140.00,31.92,35.0000,24.3141,10.6859,600.0000,31.93,119.76,3.0300,0.00,443.14,3.439673e-05
57,35.6488,140.00,31.61,35.0000,24.3141,10.6859,600.0000,31.62,119.76,3.0300,0.00,443.02,3.499526e-05
58,35.4282,140.00,31.23,35.0000,24.3141,10.6859,600.0000,31.21,119.76,3.0300,2.92,442.91,3.559326e-05
59,36.3458,140.00,30.74,35.0000,24.3141,10.6859,600.0000,30.73,119.76,3.0300,2.59,442.79,3.619072e-05
60,35.6721,140.00,30.21,35.0000,24.3141,10.6859,600.0000,30.22,119.76,3.0300,0.00,442.67,3.678764e-05
61,36.3118,140.00,29.70,35.0000,24.3141,10.6859,600.0000,29.70,119.76,3.0300,0.00,442.55,3.738403e-05
62,35.7172,140.00,29.24,35.0000,24.3141,10.6859,600.0000,29.22,119.76,3.0300,2.83,442.44,3.797988e-05
63,35.5971,140.00,28.79,35.0000,24.3141,10.6859,600.0000,28.81,119.76,3.0300,0.00,442.32,3.857520e-05
64,36.1163,140.00,28.51,35.0000,24.3141,10.6859,600.0000,28.50,119.76,3.0300,2.72,442.21,3.916998e-05
65,36.0627,140.00,28.32,35.0000,24.3141,10.6859,600.0000,28.30,119.76,3.0300,2.90,442.09,3.976423e-05
66,35.9334,140.00,28.25,35.0000,24.3141,10.6859,600.0000,28.24,119.76,3.0300,2.70,441.97,4.035795e-05
67,36.3876,140.00,28.30,35.0000,24.3141,10.6859,600.0000,28.31,119.76,3.0300,0.00,441.86,4.095113e-05
68,35.7874,140.00,28.51,35.0000,24.3141,10.6859,600.0000,28.51,119.76,3.0300,0.00,441.74,4.154378e-05
69,35.6166,140.00,28.84,35.0000,24.3141,10.6859,600.0000,28.83,119.76,3.0300,2.26,441.63,4.213591e-05
70,35.8523,140.00,29.25,35.0000,24.3141,10.6859,600.0000,29.25,119.76,3.0300,0.00,441.51,4.272750e-05
71,35.9876,140.00,29.74,35.0000,24.3141,10.6859,600.0000,29.74,119.76,3.0300,0.00,441.40,4.331856e-05
72,36.0368,140.00,30.27,35.0000,24.3141,10.6859,600.0000,30.26,119.76,3.0300,2.58,441.28,4.390909e-05
73,36.1321,140.00,30.78,35.0000,24.3141,10.6859,600.0000,30.78,119.76,3.0300,0.00,441.17,4.449910e-05
74,36.4131,140.00,31.26,35.0000,24.3141,10.6859,600.0000,31.27,119.76,3.0300,0.00,441.05,4.508858e-05
75,35.9721,140.00,31.68,35.0000,24.3141,10.6859,600.0000,31.68,119.76,3.0300,0.00,440.94,4.567753e-05
76,35.7593,140.00,32.02,35.0000,24.3141,10.6859,600.0000,32.00,119.76,3.0300,2.70,440.82,4.626595e-05
77,36.4698,140.00,32.22,35.0000,24.3141,10.6859,600.0000,32.21,119.76,3.0300,2.68,440.71,4.685385e-05
78,36.0956,140.00,32.28,35.0000,24.3141,10.6859,600.0000,32.28,119.76,3.0300,2.12,440.59,4.744122e-05
79,35.6244,140.00,32.22,35.0000,24.3141,10.6859,600.0000,32.22,119.76,3.0300,2.49,440.48,4.802807e-05
80,36.3513,140.00,32.02,35.0000,24.3141,10.6859,600.0000,32.02,119.76,3.0300,2.24,440.37,4.861439e-05
81,36.0530,140.00,31.71,35.0000,24.3141,10.6859,600.0000,31.70,119.76,3.0300,2.11,440.25,4.920019e-05
82,35.9748,140.00,31.28,35.0000,24.3141,10.6859,600.0000,31.29,119.76,3.0300,0.00,440.14,4.978547e-05
83,36.2341,140.00,30.82,35.0000,24.3141,10.6859,600.0000,30.82,119.76,3.0300,2.32,440.03,5.037023e-05
84,36.0930,140.00,30.29,35.0000,24.3141,10.6859,600.0000,30.30,119.76,3.0300,0.00,439.91,5.095446e-05
85,35.9659,140.00,29.80,35.0000,24.3141,10.6859,600.0000,29.79,119.76,3.0300,2.76,439.80,5.153818e-05
86,35.8690,140.00,29.32,35.0000,24.3141,10.6859,600.0000,29.31,119.76,3.0300,2.59,439.69,5.212137e-05
87,36.3123,140.00,28.89,35.0000,24.3141,10.6859,600.0000,28.90,119.76,3.0300,0.00,439.57,5.270405e-05
88,35.9727,140.00,28.60,35.0000,24.3141,10.6859,600.0000,28.58,119.76,3.0300,2.76,439.46,5.328620e-05
89,36.6829,140.00,28.39,35.0000,24.3141,10.6859,600.0000,28.39,119.76,3.0300,2.58,439.35,5.386784e-05
90,36.0878,140.00,28.31,35.0000,24.3141,10.6859,600.0000,28.32,119.76,3.0300,0.00,439.24,5.444896e-05
91,36.3897,140.00,28.41,35.0000,24.3141,10.6859,600.0000,28.39,119.76,3.0300,2.75,439.13,5.502956e-05
92,36.5163,140.00,28.60,35.0000,24.3141,10.6859,600.0000,28.60,119.76,3.0300,2.06,439.01,5.560965e-05
93,36.3900,140.00,28.92,35.0000,24.3141,10.6859,600.0000,28.92,119.76,3.0300,2.25,438.90,5.618922e-05
94,36.7489,140.00,29.34,35.0000,24.3141,10.6859,600.0000,29.34,119.76,3.0300,2.39,438.79,5.676828e-05
95,36.3062,140.00,29.83,35.0000,24.3141,10.6859,600.0000,29.82,119.76,3.0300,2.69,438.68,5.734682e-05
96,36.3914,140.00,30.34,35.0000,24.3141,10.6859,600.0000,30.34,119.76,3.0300,0.00,438.57,5.792484e-05
97,36.6749,140.00,30.88,35.0000,24.3141,10.6859,600.0000,30.87,119.76,3.0300,2.70,438.46,5.850236e-05
98,36.6288,140.00,31.36,35.0000,24.3141,10.6859,600.0000,31.35,119.76,3.0300,2.40,438.35,5.907936e-05
99,36.7556,140.00,31.78,35.0000,24.3141,10.6859,600.0000,31.77,119.76,3.0300,2.72,438.24,5.965585e-05
100,36.1472,140.00,32.11,35.0000,24.3141,10.6859,600.0000,32.09,119.76,3.0300,2.83,438.12,6.023183e-05
101,35.9523,140.00,32.31,35.0000,24.3141,10.6859,600.0000,32.29,119.76,3.0300,2.74,438.01,6.080729e-05
102,36.1024,140.00,32.38,35.0000,24.3141,10.6859,600.0000,32.37,119.76,3.0300,2.66,437.90,6.138225e-05
103,36.1578,140.00,32.30,35.0000,24.3141,10.6859,600.0000,32.30,119.76,3.0300,0.00,437.79,6.195669e-05
104,36.4754,140.00,32.11,35.0000,24.3141,10.6859,600.0000,32.10,119.76,3.0300,1.84,437.68,6.253063e-05
105,36.3442,140.00,31.80,35.0000,24.3141,10.6859,600.0000,31.79,119.76,3.0300,2.64,437.57,6.310406e-05
106,36.8594,140.00,31.38,35.0000,24.3141,10.6859,600.0000,31.38,119.76,3.0300,2.12,437.46,6.367698e-05
107,36.8892,140.00,30.90,35.0000,24.3141,10.6859,600.0000,30.90,119.76,3.0300,2.35,437.36,6.424940e-05
108,36.0699,140.00,30.40,35.0000,24.3141,10.6859,600.0000,30.39,119.76,3.0300,2.72,437.25,6.482130e-05
109,36.6234,140.00,29.87,35.0000,24.3141,10.6859,600.0000,29.87,119.76,3.0300,2.17,437.14,6.539271e-05
110,36.0963,140.00,29.38,35.0000,24.3141,10.6859,600.0000,29.39,119.76,3.0300,0.00,437.03,6.596360e-05
111,36.1850,140.00,28.99,35.0000,24.3141,10.6859,600.0000,28.98,119.76,3.0300,2.36,436.92,6.653399e-05
112,36.7963,140.00,28.66,35.0000,24.3141,10.6859,600.0000,28.67,119.76,3.0300,0.00,436.81,6.710388e-05
113,36.5464,140.00,28.47,35.0000,24.3141,10.6859,600.0000,28.47,119.76,3.0300,0.00,436.70,6.767326e-05
114,36.2204,140.00,28.41,35.0000,24.3141,10.6859,600.0000,28.41,119.76,3.0300,2.46,436.59,6.824214e-05
115,36.6752,140.00,28.49,35.0000,24.3141,10.6859,600.0000,28.48,119.76,3.0300,2.54,436.48,6.881052e-05
116,36.9456,140.00,28.69,35.0000,24.3141,10.6859,600.0000,28.68,119.76,3.0300,2.65,436.38,6.937840e-05
117,36.3828,140.00,29.00,35.0000,24.3141,10.6859,600.0000,29.00,119.76,3.0300,0.00,436.27,6.994578e-05
118,36.0104,140.00,29.44,35.0000,24.3141,10.6859,600.0000,29.42,119.76,3.0300,2.84,436.16,7.051265e-05
119,36.7918,140.00,29.92,35.0000,24.3141,10.6859,600.0000,29.91,119.76,3.0300,2.72,436.05,7.107903e-05
120,36.7542,140.00,30.44,35.0000,24.3141,10.6859,600.0000,30.43,119.76,3.0300,2.61,435.95,7.164490e-05
121,37.0023,140.00,30.95,35.0000,24.3141,10.6859,600.0000,30.95,119.76,3.0300,0.00,435.84,7.221028e-05
122,36.8649,140.00,31.45,35.0000,24.3141,10.6859,600.0000,31.44,119.76,3.0300,2.67,435.73,7.277516e-05
123,36.3306,140.00,31.86,35.0000,24.3141,10.6859,600.0000,31.85,119.76,3.0300,2.49,435.62,7.333954e-05
124,36.3836,140.00,32.17,35.0000,24.3141,10.6859,600.0000,32.18,119.76,3.0300,0.00,435.52,7.390342e-05
125,36.9145,140.00,32.39,35.0000,24.3141,10.6859,600.0000,32.38,119.76,3.0300,2.64,435.41,7.446681e-05
126,36.5740,140.00,32.46,35.0000,24.3141,10.6859,600.0000,32.45,119.76,3.0300,2.75,435.30,7.502970e-05
127,36.9483,140.00,32.40,35.0000,24.3141,10.6859,600.0000,32.39,119.76,3.0300,2.62,435.20,7.559210e-05
128,36.8438,140.00,32.19,35.0000,24.3141,10.6859,600.0000,32.19,119.76,3.0300,2.26,435.09,7.615400e-05
129,36.9654,140.00,31.88,35.0000,24.3141,10.6859,600.0000,31.88,119.76,3.0300,2.10,434.98,7.671541e-05
130,36.5408,140.00,31.47,35.0000,24.3141,10.6859,600.0000,31.47,119.76,3.0300,2.02,434.88,7.727632e-05
131,36.2568,140.00,30.99,35.0000,24.3141,10.6859,600.0000,30.99,119.76,3.0300,2.40,434.77,7.783675e-05
132,36.5310,140.00,30.48,35.0000,24.3141,10.6859,600.0000,30.47,119.76,3.0300,2.73,434.67,7.839668e-05
133,36.1753,140.00,29.95,35.0000,24.3141,10.6859,600.0000,29.96,119.76,3.0300,0.00,434.56,7.895611e-05
134,36.7897,140.00,29.49,35.0000,24.3141,10.6859,600.0000,29.48,119.76,3.0300,2.57,434.45,7.951506e-05
135,37.1075,140.00,29.07,35.0000,24.3141,10.6859,600.0000,29.07,119.76,3.0300,1.99,434.35,8.007352e-05
136,36.2938,140.00,28.75,35.0000,24.3141,10.6859,600.0000,28.75,119.76,3.0300,0.00,434.24,8.063149e-05
137,36.2138,140.00,28.55,35.0000,24.3141,10.6859,600.0000,28.56,119.76,3.0300,0.00,434.14,8.118896e-05
138,36.9542,140.00,28.50,35.0000,24.3141,10.6859,600.0000,28.49,119.76,3.0300,2.37,434.03,8.174595e-05
139,36.7187,140.00,28.57,35.0000,24.3141,10.6859,600.0000,28.57,119.76,3.0300,2.50,433.93,8.230245e-05
140,36.5542,140.00,28.78,35.0000,24.3141,10.6859,600.0000,28.77,119.76,3.0300,2.67,433.82,8.285847e-05
141,36.5059,140.00,29.10,35.0000,24.3141,10.6859,600.0000,29.09,119.76,3.0300,2.69,433.72,8.341399e-05
142,36.2206,140.00,29.52,35.0000,24.3141,10.6859,600.0000,29.51,119.76,3.0300,2.70,433.62,8.396903e-05
143,36.7927,140.00,30.00,35.0000,24.3141,10.6859,600.0000,29.99,119.76,3.0300,2.48,433.51,8.452359e-05
144,37.1498,140.00,30.52,35.0000,24.3141,10.6859,600.0000,30.52,119.76,3.0300,2.39,433.41,8.507766e-05
145,37.1103,140.00,31.04,35.0000,24.3141,10.6859,600.0000,31.04,119.76,3.0300,1.82,433.30,8.563124e-05
146,36.6387,140.00,31.52,35.0000,24.3141,10.6859,600.0000,31.52,119.76,3.0300,0.00,433.20,8.618434e-05
147,36.4662,140.00,31.93,35.0000,24.3141,10.6859,600.0000,31.94,119.76,3.0300,0.00,433.10,8.673696e-05
148,36.3634,140.00,32.27,35.0000,24.3141,10.6859,600.0000,32.26,119.76,3.0300,2.56,432.99,8.728909e-05
149,36.8882,140.00,32.47,35.0000,24.3141,10.6859,600.0000,32.47,119.76,3.0300,2.59,432.89,8.784075e-05
150,36.8201,140.00,32.55,35.0000,24.3141,10.6859,600.0000,32.54,119.76,3.0300,2.65,432.79,8.839192e-05
151,37.0507,140.00,32.48,35.0000,24.3141,10.6859,600.0000,32.47,119.76,3.0300,2.37,432.68,8.894260e-05
152,36.9080,140.00,32.28,35.0000,24.3141,10.6859,600.0000,32.28,119.76,3.0300,2.38,432.58,8.949281e-05
153,36.8556,140.00,31.97,35.0000,24.3141,10.6859,600.0000,31.96,119.76,3.0300,2.50,432.48,9.004254e-05
154,36.8284,140.00,31.56,35.0000,24.3141,10.6859,600.0000,31.55,119.76,3.0300,2.52,432.37,9.059179e-05
155,37.1998,140.00,31.07,35.0000,24.3141,10.6859,600.0000,31.07,119.76,3.0300,0.00,432.27,9.114056e-05
156,36.3661,140.00,30.56,35.0000,24.3141,10.6859,600.0000,30.56,119.76,3.0300,2.30,432.17,9.168885e-05
157,36.8841,140.00,30.05,35.0000,24.3141,10.6859,600.0000,30.04,119.76,3.0300,2.23,432.07,9.223667e-05
158,36.2567,140.00,29.57,35.0000,24.3141,10.6859,600.0000,29.57,119.76,3.0300,1.64,431.96,9.278401e-05
159,37.0244,140.00,29.16,35.0000,24.3141,10.6859,600.0000,29.15,119.76,3.0300,1.86,431.86,9.333087e-05
160,36.9792,140.00,28.84,35.0000,24.3141,10.6859,600.0000,28.84,119.76,3.0300,0.00,431.76,9.387725e-05
161,36.7319,140.00,28.65,35.0000,24.3141,10.6859,600.0000,28.64,119.76,3.0300,2.59,431.66,9.442316e-05
162,37.1895,140.00,28.58,35.0000,24.3141,10.6859,600.0000,28.58,119.76,3.0300,2.13,431.56,9.496860e-05
163,37.1775,140.00,28.65,35.0000,24.3141,10.6859,600.0000,28.65,119.76,3.0300,2.00,431.46,9.551356e-05
164,36.9663,140.00,28.86,35.0000,24.3141,10.6859,600.0000,28.85,119.76,3.0300,2.40,431.35,9.605804e-05
165,37.0327,140.00,29.19,35.0000,24.3141,10.6859,600.0000,29.18,119.76,3.0300,2.68,431.25,9.660206e-05
166,37.1789,140.00,29.60,35.0000,24.3141,10.6859,600.0000,29.59,119.76,3.0300,2.39,431.15,9.714560e-05
167,37.2085,140.00,30.09,35.0000,24.3141,10.6859,600.0000,30.08,119.76,3.0300,2.54,431.05,9.768867e-05
168,37.0687,140.00,30.60,35.0000,24.3141,10.6859,600.0000,30.60,119.76,3.0300,0.00,430.95,9.823127e-05
169,36.7373,140.00,31.13,35.0000,24.3141,10.6859,600.0000,31.12,119.76,3.0300,2.39,430.85,9.877339e-05
170,36.3592,140.00,31.62,35.0000,24.3141,10.6859,600.0000,31.61,119.76,3.0300,2.66,430.75,9.931505e-05
171,36.8817,140.00,32.03,35.0000,24.3141,10.6859,600.0000,32.03,119.76,3.0300,2.22,430.65,9.985624e-05
172,37.1092,140.00,32.35,35.0000,24.3141,10.6859,600.0000,32.35,119.76,3.0300,2.29,430.55,1.003970e-04
173,36.4624,140.00,32.56,35.0000,24.3141,10.6859,600.0000,32.55,119.76,3.0300,2.51,430.45,1.009372e-04
174,37.2250,140.00,32.63,35.0000,24.3141,10.6859,600.0000,32.62,119.76,3.0300,2.68,430.35,1.014770e-04
175,37.1103,140.00,32.56,35.0000,24.3141,10.6859,600.0000,32.56,119.76,3.0300,2.33,430.25,1.020163e-04
176,36.7498,140.00,32.36,35.0000,24.3141,10.6859,600.0000,32.36,119.76,3.0300,2.04,430.15,1.025551e-04
177,36.7722,140.00,32.04,35.0000,24.3141,10.6859,600.0000,32.05,119.76,3.0300,0.00,430.05,1.030935e-04
178,36.6928,140.00,31.64,35.0000,24.3141,10.6859,600.0000,31.64,119.76,3.0300,2.49,429.95,1.036314e-04
179,36.9937,140.00,31.16,35.0000,24.3141,10.6859,600.0000,31.16,119.76,3.0300,1.83,429.85,1.041689e-04
180,36.4539,140.00,30.65,35.0000,24.3141,10.6859,600.0000,30.64,119.76,3.0300,2.69,429.75,1.047059e-04
181,36.3686,140.00,30.13,35.0000,24.3141,10.6859,600.0000,30.13,119.76,3.0300,0.00,429.65,1.052424e-04
182,36.7802,140.00,29.66,35.0000,24.3141,10.6859,600.0000,29.65,119.76,3.0300,2.45,429.55,1.057785e-04
183,36.8934,140.00,29.25,35.0000,24.3141,10.6859,600.0000,29.24,119.76,3.0300,2.51,429.45,1.063141e-04
184,37.0852,140.00,28.92,35.0000,24.3141,10.6859,600.0000,28.93,119.76,3.0300,0.00,429.36,1.068492e-04
185,36.2978,140.00,28.74,35.0000,24.3141,10.6859,600.0000,28.73,119.76,3.0300,2.69,429.26,1.073839e-04
186,36.6225,140.00,28.67,35.0000,24.3141,10.6859,600.0000,28.67,119.76,3.0300,2.53,429.16,1.079181e-04
187,36.3364,140.00,28.74,35.0000,24.3141,10.6859,600.0000,28.74,119.76,3.0300,1.98,429.06,1.084518e-04
188,36.3012,140.00,28.94,35.0000,24.3141,10.6859,600.0000,28.94,119.76,3.0300,1.85,428.96,1.089851e-04
189,36.6864,140.00,29.27,35.0000,24.3141,10.6859,600.0000,29.26,119.76,3.0300,2.65,428.86,1.095179e-04
190,37.1635,140.00,29.68,35.0000,24.3141,10.6859,600.0000,29.68,119.76,3.0300,2.36,428.77,1.100503e-04
191,36.8204,140.00,30.16,35.0000,24.3141,10.6859,600.0000,30.17,119.76,3.0300,0.00,428.67,1.105822e-04
192,36.9510,140.00,30.69,35.0000,24.3141,10.6859,600.0000,30.69,119.76,3.0300,2.55,428.57,1.111137e-04
193,37.0229,140.00,31.21,35.0000,24.3141,10.6859,600.0000,31.21,119.76,3.0300,2.32,428.47,1.116447e-04
194,36.2426,140.00,31.69,35.0000,24.3141,10.6859,600.0000,31.69,119.76,3.0300,0.00,428.38,1.121752e-04
195,37.1987,140.00,32.12,35.0000,24.3141,10.6859,600.0000,32.11,119.76,3.0300,2.71,428.28,1.127053e-04
196,36.4578,140.00,32.44,35.0000,24.3141,10.6859,600.0000,32.43,119.76,3.0300,2.58,428.18,1.132349e-04
197,37.0167,140.00,32.65,35.0000,24.3141,10.6859,600.0000,32.64,119.76,3.0300,2.75,428.08,1.137641e-04
198,36.5812,140.00,32.71,35.0000,24.3141,10.6859,600.0000,32.71,119.76,3.0300,2.12,427.99,1.142928e-04
199,36.3097,140.00,32.65,35.0000,24.3141,10.6859,600.0000,32.64,119.76,3.0300,2.44,427.89,1.148210e-04
200,37.1100,140.00,32.45,35.0000,24.3141,10.6859,600.0000,32.45,119.76,3.0300,2.41,427.79,1.153489e-04
201,37.1336,140.00,32.14,35.0000,24.3141,10.6859,600.0000,32.13,119.76,3.0300,2.45,427.70,1.158762e-04
202,36.9980,140.00,31.73,35.0000,24.3141,10.6859,600.0000,31.72,119.76,3.0300,2.63,427.60,1.164031e-04
203,36.9954,140.00,31.25,35.0000,24.3141,10.6859,600.0000,31.24,119.76,3.0300,2.56,427.51,1.169296e-04
204,37.0867,140.00,30.73,35.0000,24.3141,10.6859,600.0000,30.73,119.76,3.0300,2.19,427.41,1.174556e-04
205,36.7273,140.00,30.21,35.0000,24.3141,10.6859,600.0000,30.21,119.76,3.0300,0.00,427.31,1.179811e-04
206,37.1082,140.00,29.74,35.0000,24.3141,10.6859,600.0000,29.74,119.76,3.0300,2.06,427.22,1.185062e-04
207,36.4104,140.00,29.33,35.0000,24.3141,10.6859,600.0000,29.33,119.76,3.0300,2.30,427.12,1.190309e-04
208,36.5523,140.00,29.03,35.0000,24.3141,10.6859,600.0000,29.01,119.76,3.0300,2.82,427.03,1.195551e-04
209,36.3187,140.00,28.82,35.0000,24.3141,10.6859,600.0000,28.81,119.76,3.0300,2.20,426.93,1.200788e-04
210,36.9403,140.00,28.75,35.0000,24.3141,10.6859,600.0000,28.75,119.76,3.0300,1.90,426.84,1.206021e-04
211,36.1904,140.00,28.83,35.0000,24.3141,10.6859,600.0000,28.82,119.76,3.0300,2.74,426.74,1.211250e-04
212,37.0984,140.00,29.03,35.0000,24.3141,10.6859,600.0000,29.03,119.76,3.0300,1.96,426.64,1.216474e-04
